
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [  94/391] |lr=0.1 | train_loss=3.2183 | train_acc=10.713
Epoch 000 [  95/391] |lr=0.1 | train_loss=3.2085 | train_acc=10.748
Epoch 000 [  96/391] |lr=0.1 | train_loss=3.1987 | train_acc=10.726
Epoch 000 [  97/391] |lr=0.1 | train_loss=3.1892 | train_acc=10.728
Epoch 000 [  98/391] |lr=0.1 | train_loss=3.1803 | train_acc=10.754
Epoch 000 [  99/391] |lr=0.1 | train_loss=3.1713 | train_acc=10.756
Epoch 000 [ 100/391] |lr=0.1 | train_loss=3.1638 | train_acc=10.805
Epoch 000 [ 101/391] |lr=0.1 | train_loss=3.1552 | train_acc=10.798
Epoch 000 [ 102/391] |lr=0.1 | train_loss=3.1469 | train_acc=10.815
Epoch 000 [ 103/391] |lr=0.1 | train_loss=3.1385 | train_acc=10.816
Epoch 000 [ 104/391] |lr=0.1 | train_loss=3.1301 | train_acc=10.915
Epoch 000 [ 105/391] |lr=0.1 | train_loss=3.1219 | train_acc=10.893
Epoch 000 [ 106/391] |lr=0.1 | train_loss=3.1138 | train_acc=10.908
Epoch 000 [ 107/391] |lr=0.1 | train_loss=3.1058 | train_acc=10.967
Epoch 000 [ 108/391] |lr=0.1 | train_loss=3.0977 | train_acc=10.988
Epoch 000 [ 109/391] |lr=0.1 | train_loss=3.0901 | train_acc=10.995
Epoch 000 [ 110/391] |lr=0.1 | train_loss=3.0837 | train_acc=10.987
Epoch 000 [ 111/391] |lr=0.1 | train_loss=3.0763 | train_acc=11.043
Epoch 000 [ 112/391] |lr=0.1 | train_loss=3.0689 | train_acc=11.070
Epoch 000 [ 113/391] |lr=0.1 | train_loss=3.0618 | train_acc=11.117
Epoch 000 [ 114/391] |lr=0.1 | train_loss=3.0548 | train_acc=11.116
Epoch 000 [ 115/391] |lr=0.1 | train_loss=3.0482 | train_acc=11.155
Epoch 000 [ 116/391] |lr=0.1 | train_loss=3.0413 | train_acc=11.214
Epoch 000 [ 117/391] |lr=0.1 | train_loss=3.0353 | train_acc=11.258
Epoch 000 [ 118/391] |lr=0.1 | train_loss=3.0298 | train_acc=11.295
Epoch 000 [ 119/391] |lr=0.1 | train_loss=3.0233 | train_acc=11.338
Epoch 000 [ 120/391] |lr=0.1 | train_loss=3.0162 | train_acc=11.419
Epoch 000 [ 121/391] |lr=0.1 | train_loss=3.0101 | train_acc=11.467
Epoch 000 [ 122/391] |lr=0.1 | train_loss=3.0039 | train_acc=11.482
Epoch 000 [ 123/391] |lr=0.1 | train_loss=2.9971 | train_acc=11.541
Epoch 000 [ 124/391] |lr=0.1 | train_loss=2.9913 | train_acc=11.612
Epoch 000 [ 125/391] |lr=0.1 | train_loss=2.9848 | train_acc=11.681
Epoch 000 [ 126/391] |lr=0.1 | train_loss=2.9780 | train_acc=11.706
Epoch 000 [ 127/391] |lr=0.1 | train_loss=2.9723 | train_acc=11.743
Epoch 000 [ 128/391] |lr=0.1 | train_loss=2.9670 | train_acc=11.774
