
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [  85/391] |lr=0.1 | train_loss=298.5459 | train_acc=10.910
Epoch 000 [  86/391] |lr=0.1 | train_loss=301.0016 | train_acc=10.928
Epoch 000 [  87/391] |lr=0.1 | train_loss=303.3950 | train_acc=10.955
Epoch 000 [  88/391] |lr=0.1 | train_loss=305.7084 | train_acc=11.026
Epoch 000 [  89/391] |lr=0.1 | train_loss=308.0290 | train_acc=11.034
Epoch 000 [  90/391] |lr=0.1 | train_loss=310.3502 | train_acc=10.998
Epoch 000 [  91/391] |lr=0.1 | train_loss=312.7043 | train_acc=10.980
Epoch 000 [  92/391] |lr=0.1 | train_loss=315.0046 | train_acc=10.929
Epoch 000 [  93/391] |lr=0.1 | train_loss=317.2884 | train_acc=10.938
Epoch 000 [  94/391] |lr=0.1 | train_loss=319.5964 | train_acc=10.913
Epoch 000 [  95/391] |lr=0.1 | train_loss=321.9295 | train_acc=10.921
Epoch 000 [  96/391] |lr=0.1 | train_loss=324.2101 | train_acc=10.881
Epoch 000 [  97/391] |lr=0.1 | train_loss=326.5310 | train_acc=10.929
Epoch 000 [  98/391] |lr=0.1 | train_loss=328.8409 | train_acc=10.938
Epoch 000 [  99/391] |lr=0.1 | train_loss=331.1996 | train_acc=11.001
Epoch 000 [ 100/391] |lr=0.1 | train_loss=333.5181 | train_acc=10.992
Epoch 000 [ 101/391] |lr=0.1 | train_loss=335.8471 | train_acc=10.976
Epoch 000 [ 102/391] |lr=0.1 | train_loss=338.1474 | train_acc=10.907
Epoch 000 [ 103/391] |lr=0.1 | train_loss=340.4627 | train_acc=10.869
Epoch 000 [ 104/391] |lr=0.1 | train_loss=342.7580 | train_acc=10.870
Epoch 000 [ 105/391] |lr=0.1 | train_loss=345.0746 | train_acc=10.878
Epoch 000 [ 106/391] |lr=0.1 | train_loss=347.3897 | train_acc=10.901
Epoch 000 [ 107/391] |lr=0.1 | train_loss=349.6680 | train_acc=10.879
Epoch 000 [ 108/391] |lr=0.1 | train_loss=352.1741 | train_acc=10.851
Epoch 000 [ 109/391] |lr=0.1 | train_loss=354.4775 | train_acc=10.816
Epoch 000 [ 110/391] |lr=0.1 | train_loss=356.7440 | train_acc=10.881
Epoch 000 [ 111/391] |lr=0.1 | train_loss=359.0536 | train_acc=10.860
Epoch 000 [ 112/391] |lr=0.1 | train_loss=361.3477 | train_acc=10.840
Epoch 000 [ 113/391] |lr=0.1 | train_loss=363.5924 | train_acc=10.875
Epoch 000 [ 114/391] |lr=0.1 | train_loss=365.8588 | train_acc=10.855
Epoch 000 [ 115/391] |lr=0.1 | train_loss=368.2158 | train_acc=10.863
Epoch 000 [ 116/391] |lr=0.1 | train_loss=370.4870 | train_acc=10.890
Epoch 000 [ 117/391] |lr=0.1 | train_loss=372.7678 | train_acc=10.877
Epoch 000 [ 118/391] |lr=0.1 | train_loss=375.0344 | train_acc=10.898
Epoch 000 [ 119/391] |lr=0.1 | train_loss=377.3429 | train_acc=10.911
Epoch 000 [ 120/391] |lr=0.1 | train_loss=379.6333 | train_acc=10.944
Epoch 000 [ 121/391] |lr=0.1 | train_loss=381.8708 | train_acc=10.976
Epoch 000 [ 122/391] |lr=0.1 | train_loss=384.2306 | train_acc=10.995
Epoch 000 [ 123/391] |lr=0.1 | train_loss=386.5235 | train_acc=10.995
Epoch 000 [ 124/391] |lr=0.1 | train_loss=388.7704 | train_acc=11.007
Epoch 000 [ 125/391] |lr=0.1 | train_loss=391.0223 | train_acc=11.006
Epoch 000 [ 126/391] |lr=0.1 | train_loss=393.2930 | train_acc=11.049
Epoch 000 [ 127/391] |lr=0.1 | train_loss=395.5354 | train_acc=11.073
Epoch 000 [ 128/391] |lr=0.1 | train_loss=398.0123 | train_acc=11.078
Epoch 000 [ 129/391] |lr=0.1 | train_loss=400.3488 | train_acc=11.065
Epoch 000 [ 130/391] |lr=0.1 | train_loss=402.5984 | train_acc=11.070
Epoch 000 [ 131/391] |lr=0.1 | train_loss=405.4812 | train_acc=11.069
Epoch 000 [ 132/391] |lr=0.1 | train_loss=407.7641 | train_acc=11.068
Epoch 000 [ 133/391] |lr=0.1 | train_loss=410.0481 | train_acc=11.102
Epoch 000 [ 134/391] |lr=0.1 | train_loss=412.3965 | train_acc=11.107
Epoch 000 [ 135/391] |lr=0.1 | train_loss=414.6779 | train_acc=11.117
Epoch 000 [ 136/391] |lr=0.1 | train_loss=416.9564 | train_acc=11.144
Epoch 000 [ 137/391] |lr=0.1 | train_loss=419.2421 | train_acc=11.143
Epoch 000 [ 138/391] |lr=0.1 | train_loss=421.5120 | train_acc=11.181
Epoch 000 [ 139/391] |lr=0.1 | train_loss=423.7878 | train_acc=11.179
Epoch 000 [ 140/391] |lr=0.1 | train_loss=426.1079 | train_acc=11.172
Epoch 000 [ 141/391] |lr=0.1 | train_loss=428.3575 | train_acc=11.170
Epoch 000 [ 142/391] |lr=0.1 | train_loss=430.6398 | train_acc=11.180
Epoch 000 [ 143/391] |lr=0.1 | train_loss=433.0321 | train_acc=11.183
Epoch 000 [ 144/391] |lr=0.1 | train_loss=435.3027 | train_acc=11.182
Epoch 000 [ 145/391] |lr=0.1 | train_loss=437.5654 | train_acc=11.196
Epoch 000 [ 146/391] |lr=0.1 | train_loss=439.8296 | train_acc=11.184
Epoch 000 [ 147/391] |lr=0.1 | train_loss=442.1084 | train_acc=11.198
Epoch 000 [ 148/391] |lr=0.1 | train_loss=444.3998 | train_acc=11.196
Epoch 000 [ 149/391] |lr=0.1 | train_loss=446.6765 | train_acc=11.215
Epoch 000 [ 150/391] |lr=0.1 | train_loss=449.0995 | train_acc=11.224
Epoch 000 [ 151/391] |lr=0.1 | train_loss=451.4467 | train_acc=11.212
Epoch 000 [ 152/391] |lr=0.1 | train_loss=453.7108 | train_acc=11.246
Epoch 000 [ 153/391] |lr=0.1 | train_loss=455.9656 | train_acc=11.244
Epoch 000 [ 154/391] |lr=0.1 | train_loss=458.2380 | train_acc=11.237
Epoch 000 [ 155/391] |lr=0.1 | train_loss=460.5362 | train_acc=11.210
Epoch 000 [ 156/391] |lr=0.1 | train_loss=462.8306 | train_acc=11.178
Epoch 000 [ 157/391] |lr=0.1 | train_loss=465.1147 | train_acc=11.201
Epoch 000 [ 158/391] |lr=0.1 | train_loss=467.3981 | train_acc=11.205
Epoch 000 [ 159/391] |lr=0.1 | train_loss=469.6751 | train_acc=11.183
Epoch 000 [ 160/391] |lr=0.1 | train_loss=471.9831 | train_acc=11.182
Epoch 000 [ 161/391] |lr=0.1 | train_loss=474.2444 | train_acc=11.185
Epoch 000 [ 162/391] |lr=0.1 | train_loss=476.5797 | train_acc=11.188
Epoch 000 [ 163/391] |lr=0.1 | train_loss=478.8672 | train_acc=11.182
Epoch 000 [ 164/391] |lr=0.1 | train_loss=481.1483 | train_acc=11.185
Epoch 000 [ 165/391] |lr=0.1 | train_loss=483.4464 | train_acc=11.184
Epoch 000 [ 166/391] |lr=0.1 | train_loss=485.7489 | train_acc=11.187
Epoch 000 [ 167/391] |lr=0.1 | train_loss=488.0292 | train_acc=11.167
Epoch 000 [ 168/391] |lr=0.1 | train_loss=490.2923 | train_acc=11.161
Epoch 000 [ 169/391] |lr=0.1 | train_loss=492.5629 | train_acc=11.192
Epoch 000 [ 170/391] |lr=0.1 | train_loss=494.8337 | train_acc=11.186
Epoch 000 [ 171/391] |lr=0.1 | train_loss=497.0912 | train_acc=11.180
Epoch 000 [ 172/391] |lr=0.1 | train_loss=499.3795 | train_acc=11.187
Epoch 000 [ 173/391] |lr=0.1 | train_loss=501.7163 | train_acc=11.177
Epoch 000 [ 174/391] |lr=0.1 | train_loss=503.9916 | train_acc=11.189
Epoch 000 [ 175/391] |lr=0.1 | train_loss=506.2556 | train_acc=11.210
Epoch 000 [ 176/391] |lr=0.1 | train_loss=508.5726 | train_acc=11.208
Epoch 000 [ 177/391] |lr=0.1 | train_loss=510.8353 | train_acc=11.207
Epoch 000 [ 178/391] |lr=0.1 | train_loss=513.0995 | train_acc=11.223
Epoch 000 [ 179/391] |lr=0.1 | train_loss=515.3833 | train_acc=11.239
Epoch 000 [ 180/391] |lr=0.1 | train_loss=517.6667 | train_acc=11.233
Epoch 000 [ 181/391] |lr=0.1 | train_loss=519.9462 | train_acc=11.235
Epoch 000 [ 182/391] |lr=0.1 | train_loss=522.2550 | train_acc=11.234
Epoch 000 [ 183/391] |lr=0.1 | train_loss=524.5363 | train_acc=11.228
Epoch 000 [ 184/391] |lr=0.1 | train_loss=526.8301 | train_acc=11.218
Epoch 000 [ 185/391] |lr=0.1 | train_loss=529.1922 | train_acc=11.250
Epoch 000 [ 186/391] |lr=0.1 | train_loss=531.4845 | train_acc=11.253
Epoch 000 [ 187/391] |lr=0.1 | train_loss=533.7880 | train_acc=11.259
Epoch 000 [ 188/391] |lr=0.1 | train_loss=536.0753 | train_acc=11.262
Epoch 000 [ 189/391] |lr=0.1 | train_loss=538.3470 | train_acc=11.272
Epoch 000 [ 190/391] |lr=0.1 | train_loss=540.6315 | train_acc=11.303
Epoch 000 [ 191/391] |lr=0.1 | train_loss=542.9163 | train_acc=11.322
Epoch 000 [ 192/391] |lr=0.1 | train_loss=545.2119 | train_acc=11.324
Epoch 000 [ 193/391] |lr=0.1 | train_loss=547.5220 | train_acc=11.330
Epoch 000 [ 194/391] |lr=0.1 | train_loss=549.7991 | train_acc=11.328
Epoch 000 [ 195/391] |lr=0.1 | train_loss=552.0707 | train_acc=11.334
Epoch 000 [ 196/391] |lr=0.1 | train_loss=554.3820 | train_acc=11.308
Epoch 000 [ 197/391] |lr=0.1 | train_loss=556.6859 | train_acc=11.310
Epoch 000 [ 198/391] |lr=0.1 | train_loss=559.0174 | train_acc=11.308
Epoch 000 [ 199/391] |lr=0.1 | train_loss=561.5368 | train_acc=11.295
Epoch 000 [ 200/391] |lr=0.1 | train_loss=563.7843 | train_acc=11.297
Epoch 000 [ 201/391] |lr=0.1 | train_loss=566.1152 | train_acc=11.299
Epoch 000 [ 202/391] |lr=0.1 | train_loss=568.4011 | train_acc=11.274
Epoch 000 [ 203/391] |lr=0.1 | train_loss=570.6807 | train_acc=11.288
Epoch 000 [ 204/391] |lr=0.1 | train_loss=572.9651 | train_acc=11.271
Epoch 000 [ 205/391] |lr=0.1 | train_loss=575.2683 | train_acc=11.280
Epoch 000 [ 206/391] |lr=0.1 | train_loss=577.5570 | train_acc=11.283
Epoch 000 [ 207/391] |lr=0.1 | train_loss=579.8306 | train_acc=11.281
Epoch 000 [ 208/391] |lr=0.1 | train_loss=582.1169 | train_acc=11.291
Epoch 000 [ 209/391] |lr=0.1 | train_loss=584.3919 | train_acc=11.285
Epoch 000 [ 210/391] |lr=0.1 | train_loss=586.6741 | train_acc=11.291
Epoch 000 [ 211/391] |lr=0.1 | train_loss=588.9519 | train_acc=11.293
Epoch 000 [ 212/391] |lr=0.1 | train_loss=591.2363 | train_acc=11.277
Epoch 000 [ 213/391] |lr=0.1 | train_loss=593.5294 | train_acc=11.260
Epoch 000 [ 214/391] |lr=0.1 | train_loss=595.7947 | train_acc=11.284
